,Tên xe,Năm SX,Kiểu dáng,Tình trạng,Xuất xứ,Tỉnh thành,Km đã đi,Quận huyện,Hộp số,Nhiên liệu
842,"

                Honda Brio RS 2020
            
",Năm SX 2020,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 25.671 km,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
843,"

                Ford Ranger Raptor 2.0L AT 4x4 2021
            
",Năm SX 2021,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hưng Yên
",None,"
Quận huyện
Văn Giang
",Hộp số Số tự động,Nhiên liệu Diesel
844,"

                Mazda 3 Sedan 1.5L Luxury 2019
            
",Năm SX 2019,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 39.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
845,"

                Honda City 1.5 L 2019
            
",Năm SX 2019,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 38.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
846,"

                Isuzu Hi Lander 2006
            
",Năm SX 2006,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Hà Đông
",Hộp số Số tay,Nhiên liệu Xăng
847,"

                Volvo XC60 B6 AWD Ultimate Dark 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
848,"

                Ford Mustang EcoBoost Premium 2015
            
",Năm SX 2015,Kiểu dáng Coupe,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Bình Dương
",None,"
Quận huyện
Dĩ An
",Hộp số Số tự động,Nhiên liệu Xăng
849,"

                Volvo XC40 B5 AWD Ultimate 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
850,"

                MG 5 LUX 2023
            
",Năm SX 2023,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Bà Rịa Vũng Tàu
",None,"
Quận huyện
Long Điền
",Hộp số Số tự động,Nhiên liệu Xăng
851,"

                Ford Fiesta 1.6 AT 2012
            
",Năm SX 2012,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 88.000 km,"
Quận huyện
Hà Đông
",Hộp số Số tự động,Nhiên liệu Xăng
852,"

                Volvo XC60 Recharge Ultimate 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
853,"

                Volvo S90 Ultimate AWD 2022
            
",Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
854,"

                MG ZS 1.5 2WD LUX+ 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Quận 4
",Hộp số Số tự động,Nhiên liệu Xăng
855,"

                Mercedes-Benz GLC 300 4MATIC 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Tp.HCM
",Km đã đi 900 km,"
Quận huyện
Quận 7
",Hộp số Số tự động,Nhiên liệu Xăng
856,"

                Toyota Vios 1.5G AT 2017
            
",Năm SX 2017,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 38.000 km,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
857,"

                Isuzu D-Max 2012
            
",Năm SX 2012,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Hà Đông
",Hộp số Số tay,Nhiên liệu Diesel
858,"

                Toyota Rush S 1.5 AT 2021
            
",Năm SX 2021,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",Km đã đi 18.000 km,"
Quận huyện
Thủ Đức
",Hộp số Số tự động,Nhiên liệu Xăng
859,"

                Lexus LS 500 H 2023
            
",Năm SX 2023,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
860,"

                Hyundai Santa Fe 2.2L Dầu cao cấp 2020
            
",Năm SX 2020,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 35.000 km,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Diesel
861,"

                Mercedes-Benz C300 AMG 2017
            
",Năm SX 2017,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Tp.HCM
",Km đã đi 33.000 km,"
Quận huyện
Quận 7
",Hộp số Số tự động,Nhiên liệu Xăng
862,"

                Kia Sorento Si 2.2 AT 4WD 2015
            
",Năm SX 2015,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 86.000 km,"
Quận huyện
Hà Đông
",Hộp số Số tự động,Nhiên liệu Diesel
863,"

                Volkswagen Touareg Luxury 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Bắc Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
864,"

                Ford Territory Titanium X 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Phú Thọ
",None,"
Quận huyện
Việt Trì
",Hộp số Số tự động,Nhiên liệu Xăng
865,"

                Rolls-Royce Phantom 2007
            
",Năm SX 2007,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",Km đã đi 40.000 km,"
Quận huyện
Gò Vấp
",Hộp số Số tự động,Nhiên liệu Xăng
866,"

                Nissan Terra 2.5L E 2WD 7 AT 2019
            
",Năm SX 2019,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Vĩnh Phúc
",Km đã đi 50.000 km,"
Quận huyện
Vĩnh Tường
",Hộp số Số tự động,Nhiên liệu Xăng
867,"  Nissan X trail 2.5 sv 4wd premium 2018
             ",Năm SX 2018,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,Km đã đi 26.000 km, Quận huyện Bắc Từ Liêm ,Hộp số Số tự động,Nhiên liệu Xăng
868,"  Volkswagen Touareg Luxury 2022
             ",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,None, Quận huyện Bắc Từ Liêm ,Hộp số Số tự động,Nhiên liệu Xăng
869,"  BMW 318i 2003
             ",Năm SX 2003,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hà Nội ,Km đã đi 100.000 km, Quận huyện Bắc Từ Liêm ,Hộp số Số tự động,Nhiên liệu Xăng
870,"  Toyota Hilux 2.4E 4×2 AT 2021
             ",Năm SX 2021,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,Km đã đi 30.000 km, Quận huyện Long Biên ,Hộp số Số tự động,Nhiên liệu Diesel
871,"  Honda Brio V 2020
             ",Năm SX 2020,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hà Nội ,Km đã đi 19.000 km, Quận huyện Bắc Từ Liêm ,Hộp số Số tự động,Nhiên liệu Xăng
872,"  Volkswagen Tiguan Elegance 2020
             ",Năm SX 2020,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,None, Quận huyện Bắc Từ Liêm ,Hộp số Số tự động,Nhiên liệu Xăng
873,"  Toyota Camry 2.4G 2008
             ",Năm SX 2008,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,Km đã đi 115.000 km, Quận huyện Bắc Từ Liêm ,Hộp số Số tự động,Nhiên liệu Xăng
874,"  Kia Sorento 2.4 GATH Premium 2014
             ",Năm SX 2014,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Tp.HCM ,Km đã đi 65.000 km, Quận huyện Bình Chánh ,Hộp số Số tự động,Nhiên liệu Xăng
875,"  Hyundai Santa Fe Sport 2.4 AT AWD 2014
             ",Năm SX 2014,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,Km đã đi 60.000 km, Quận huyện Long Biên ,Hộp số Số tự động,Nhiên liệu Xăng
876,"  Volvo XC60 B6 Ultimate Bright 2023
             ",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,None, Quận huyện Quận 7 ,Hộp số Số tự động,Nhiên liệu Xăng
877,"  Volkswagen Touareg Elegance 2022
             ",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,None, Quận huyện Bắc Từ Liêm ,Hộp số Số tự động,Nhiên liệu Xăng
878,"  Lexus GX 470 2008
             ",Năm SX 2008,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,Km đã đi 90.000 km, Quận huyện Long Biên ,Hộp số Số tự động,Nhiên liệu Xăng
879,"  Nissan Navara LE 2.5AT 2016
             ",Năm SX 2016,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,Km đã đi 60.000 km, Quận huyện Long Biên ,Hộp số Số tự động,Nhiên liệu Diesel
880,"  Mercedes-Benz S450 Luxury 2022
             ",Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,None, Quận huyện Đống Đa ,Hộp số Số tự động,Nhiên liệu Xăng
881,"  Nissan X trail 2.5 SV 4WD Xtronic-CVT 2018
             ",Năm SX 2018,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hà Nội ,Km đã đi 60.000 km, Quận huyện Long Biên ,Hộp số Số tự động,Nhiên liệu Xăng
882,"

                Mercedes-Benz C250 Exclusive 2015
            
",Năm SX 2015,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 70.000 km,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
883,"

                Audi A6 1.8 TFSI 2016
            
",Năm SX 2016,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 60.000 km,"
Quận huyện
Tây Hồ
",Hộp số Số tự động,Nhiên liệu Xăng
884,"

                Mazda 3 1.5L Luxury 2021
            
",Năm SX 2021,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 22.000 km,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
885,"

                Chevrolet Colorado High Country 2016
            
",Năm SX 2016,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 60.000 km,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Diesel
886,"

                Hyundai Tucson 2.0 Đặc biệt 2016
            
",Năm SX 2016,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Nam Định
",Km đã đi 07 km,"
Quận huyện
Nam Định
",Hộp số Số tự động,Nhiên liệu Xăng
887,"

                Volvo S90 ultimate 2023
            
",Năm SX 2023,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Quận 7
",Hộp số Số tự động,Nhiên liệu Xăng
888,"

                Toyota Corolla Altis 1.8 V 2022
            
",Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Vĩnh Phúc
",Km đã đi 6.000 km,"
Quận huyện
Bình Xuyên
",Hộp số Số tự động,Nhiên liệu Xăng
889,"

                Land Rover Range Rover 3.0P Vogue 2014
            
",Năm SX 2014,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 48.280 km,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Diesel
890,"

                Mazda 3 1.5L Sedan 2018
            
",Năm SX 2018,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 35.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
891,"

                Mercedes-Benz S500 L 2014
            
",Năm SX 2014,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 80.000 km,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
892,"

                BMW 730Li 2.0 2016
            
",Năm SX 2016,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 72.420 km,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
893,"

                Mazda 3  2017
            
",Năm SX 2017,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 50.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
894,"

                Toyota Fortuner 2.7 V 4X2 AT 2013
            
",Năm SX 2013,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 180.000 km,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
895,"

                Toyota Fortuner 2.7 V 4X4 AT 2015
            
",Năm SX 2015,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 71.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
896,"

                Hyundai Santa Fe 2.2L Dầu cao cấp 2020
            
",Năm SX 2020,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 39.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Diesel
897,"

                Hyundai Kona 1.6 Turbo 2018
            
",Năm SX 2018,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
898,"

                Porsche Cayenne s coupe 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Hà Đông
",Hộp số Số tự động,Nhiên liệu Xăng
899,"

                Toyota Fortuner 2010
            
",Năm SX 2010,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Đắk Nông
",Km đã đi 90.000 km,"
Quận huyện
Gia Nghĩa
",Hộp số Số tay,Nhiên liệu Diesel
900,"

                Ford Ranger Wildtrak 3.2 4x4 AT 2016
            
",Năm SX 2016,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 98.000 km,"
Quận huyện
Hà Đông
",Hộp số Số tự động,Nhiên liệu Diesel
901,"

                Kia Cerato 2009
            
",Năm SX 2009,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 150.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
902,"

                Subaru Forester 2.0i-L EyeSight 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Hoàng Mai
",Hộp số Số tự động,Nhiên liệu Xăng
903,"

                Hyundai Santa Fe 2.2L Dầu cao cấp 2020
            
",Năm SX 2020,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Lâm Đồng
",Km đã đi 74.000 km,"
Quận huyện
Đà Lạt
",Hộp số Số tự động,Nhiên liệu Diesel
904,"

                Nissan X trail 2.0 SL 2WD Premium 2019
            
",Năm SX 2019,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 40.000 km,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
905,"

                Subaru Forester 2.0i-S EyeSight 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Hoàng Mai
",Hộp số Số tự động,Nhiên liệu Xăng
906,"

                Chevrolet Captiva Revv LTZ 2.4 AT 2008
            
",Năm SX 2008,Kiểu dáng CUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Lâm Đồng
",Km đã đi 120.000 km,"
Quận huyện
Bảo Lộc
",Hộp số Số tự động,Nhiên liệu Xăng
907,"  Hino FG 2015
             ",Năm SX 2015,Kiểu dáng Truck,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,None, Quận huyện Tân Bình ,Hộp số Số tay,Nhiên liệu Diesel
908,"

                Toyota Fortuner 2.7 V 4X2 AT 2019
            
",Năm SX 2019,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 26.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
909,"

                Ford Explorer Limited 2018
            
",Năm SX 2018,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 32.000 km,"
Quận huyện
Hà Đông
",Hộp số Số tự động,Nhiên liệu Xăng
910,"

                Mazda 3 1.5 Hatchback 2017
            
",Năm SX 2017,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 39.043 km,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
911,"

                Mitsubishi Jolie 2003
            
",Năm SX 2003,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hải Phòng
",Km đã đi 98.000 km,"
Quận huyện
An Lão
",Hộp số Số tay,Nhiên liệu Xăng
912,"

                Ford Everest Titanium 2.0 AT 4x2 2019
            
",Năm SX 2019,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Bình Dương
",Km đã đi 39.000 km,"
Quận huyện
Dĩ An
",Hộp số Số tự động,Nhiên liệu Diesel
913,"

                Chevrolet Colorado  2019
            
",Năm SX 2019,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 65.000 km,"
Quận huyện
Hà Đông
",Hộp số Số tự động,Nhiên liệu Xăng
914,"

                Mazda CX-5 2.0 Premium 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Bình Dương
",Km đã đi 32.000 km,"
Quận huyện
Dĩ An
",Hộp số Số tự động,Nhiên liệu Xăng
915,"  Mazda 3  2017
             ",Năm SX 2017,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hà Nội ,Km đã đi 50.000 km, Quận huyện Cầu Giấy ,Hộp số Số tự động,Nhiên liệu Xăng
916,"  Toyota Fortuner 2.7 V 4X2 AT 2013
             ",Năm SX 2013,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hà Nội ,Km đã đi 180.000 km, Quận huyện Nam Từ Liêm ,Hộp số Số tự động,Nhiên liệu Xăng
917,"  Toyota Fortuner 2.7 V 4X4 AT 2015
             ",Năm SX 2015,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hà Nội ,Km đã đi 71.000 km, Quận huyện Cầu Giấy ,Hộp số Số tự động,Nhiên liệu Xăng
918,"  Hyundai Santa Fe 2.2L Dầu cao cấp 2020
             ",Năm SX 2020,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hà Nội ,Km đã đi 39.000 km, Quận huyện Cầu Giấy ,Hộp số Số tự động,Nhiên liệu Diesel
919,"  Hyundai Kona 1.6 Turbo 2018
             ",Năm SX 2018,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hà Nội ,None, Quận huyện Cầu Giấy ,Hộp số Số tự động,Nhiên liệu Xăng
920,"  Porsche Cayenne s coupe 2022
             ",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,None, Quận huyện Hà Đông ,Hộp số Số tự động,Nhiên liệu Xăng
921,"  Toyota Fortuner 2010
             ",Năm SX 2010,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Đắk Nông ,Km đã đi 90.000 km, Quận huyện Gia Nghĩa ,Hộp số Số tay,Nhiên liệu Diesel
922,"  Ford Ranger Wildtrak 3.2 4x4 AT 2016
             ",Năm SX 2016,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,Km đã đi 98.000 km, Quận huyện Hà Đông ,Hộp số Số tự động,Nhiên liệu Diesel
923,"  Kia Cerato 2009
             ",Năm SX 2009,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,Km đã đi 150.000 km, Quận huyện Cầu Giấy ,Hộp số Số tự động,Nhiên liệu Xăng
924,"  Subaru Forester 2.0i-L EyeSight 2022
             ",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,None, Quận huyện Hoàng Mai ,Hộp số Số tự động,Nhiên liệu Xăng
925,"  Hyundai Santa Fe 2.2L Dầu cao cấp 2020
             ",Năm SX 2020,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Lâm Đồng ,Km đã đi 74.000 km, Quận huyện Đà Lạt ,Hộp số Số tự động,Nhiên liệu Diesel
926,"  Nissan X trail 2.0 SL 2WD Premium 2019
             ",Năm SX 2019,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,Km đã đi 40.000 km, Quận huyện Long Biên ,Hộp số Số tự động,Nhiên liệu Xăng
927,"  Subaru Forester 2.0i-S EyeSight 2022
             ",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,None, Quận huyện Hoàng Mai ,Hộp số Số tự động,Nhiên liệu Xăng
928,"  Chevrolet Captiva Revv LTZ 2.4 AT 2008
             ",Năm SX 2008,Kiểu dáng CUV,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Lâm Đồng ,Km đã đi 120.000 km, Quận huyện Bảo Lộc ,Hộp số Số tự động,Nhiên liệu Xăng
929,"  Hino FG 2015
             ",Năm SX 2015,Kiểu dáng Truck,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,None, Quận huyện Tân Bình ,Hộp số Số tay,Nhiên liệu Diesel
930,"

                Toyota Camry 2.5Q 2017
            
",Năm SX 2017,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 78.000 km,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
931,"

                Mitsubishi Triton GLX 2.5 AT 4x2 2017
            
",Năm SX 2017,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 66.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Diesel
932,"

                Hyundai Santa Fe 2.2L Dầu cao cấp 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Quận 6
",Hộp số Số tự động,Nhiên liệu Diesel
933,"

                Hyundai Tucson 2.0 Tiêu chuẩn 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hải Phòng
",None,"
Quận huyện
Đồ Sơn
",Hộp số Số tự động,Nhiên liệu Xăng
934,"

                Hyundai Tucson 2.0 Tiêu chuẩn 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Quận 6
",Hộp số Số tự động,Nhiên liệu Xăng
935,"

                Hyundai Creta 1.5L Tiêu chuẩn 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Quận 6
",Hộp số Số tự động,Nhiên liệu Xăng
936,"

                Kia K3 1.6 Premium 2021
            
",Năm SX 2021,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 16.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
